id,apellido,nombre,id_pais,fecha_nacimiento,fecha_defuncion,biografia,created_at
128,Gardel,Carlos,2,1890-01-01,1935-01-01,,2025-12-06 03:45:14.417159+00
129,Gardelín,Gerardo,2,1965-01-01,,,2025-12-06 03:45:14.417159+00
130,Garland,Joe,17,1903-01-01,1977-01-01,,2025-12-06 03:45:14.417159+00
131,Garnica,Néstor,2,,,,2025-12-06 03:45:14.417159+00
132,Gershwin,George,17,1898-01-01,1937-01-01,,2025-12-06 03:45:14.417159+00
133,Giacchino,Michael,17,1967-01-01,,,2025-12-06 03:45:14.417159+00
134,Gian Marco,,29,1970-01-01,,,2025-12-06 03:45:14.417159+00
135,Gianneo,Luis,2,1897-01-01,1968-01-01,,2025-12-06 03:45:14.417159+00
136,Giazotto,Remo,24,1910-01-01,1998-01-01,,2025-12-06 03:45:14.417159+00
137,Giguere,Jacob,,,,,2025-12-06 03:45:14.417159+00
138,Gillespie,Dizzy,17,1917-01-01,1993-01-01,,2025-12-06 03:45:14.417159+00
139,Giménez,Gerónimo,16,1871-01-01,1923-01-01,,2025-12-06 03:45:14.417159+00
140,Ginastera,Alberto,2,1916-01-01,1983-01-01,,2025-12-06 03:45:14.417159+00
141,Gjeilo,Ola,27,1978-01-01,,,2025-12-06 03:45:14.417159+00
142,Glazunov,Aleksandr,35,1865-01-01,1936-01-01,,2025-12-06 03:45:14.417159+00
143,Gluck,Christoph Willibald,1,1714-01-01,1787-01-01,,2025-12-06 03:45:14.417159+00
144,Gobbi,Alfredo,2,1912-01-01,1965-01-01,,2025-12-06 03:45:14.417159+00
145,Gold,Andrew,17,1951-01-01,2011-01-01,,2025-12-06 03:45:14.417159+00
146,Gómez Carrillo,Manuel,2,1883-01-01,1968-01-01,,2025-12-06 03:45:14.417159+00
147,Gómez,Nelly Beatriz,2,,,,2025-12-06 03:45:14.417159+00
148,Greebbaum,Norman,17,1942-01-01,,,2025-12-06 03:45:14.417159+00
149,Grieg,Edvard,27,1843-01-01,1907-01-01,,2025-12-06 03:45:14.417159+00
150,Grøndahl,Launy,14,1886-01-01,1960-01-01,,2025-12-06 03:45:14.417159+00
151,Gruber,Franz Xavier,5,1787-01-01,1863-01-01,,2025-12-06 03:45:14.417159+00
152,Guarda Carrasco,Ernesto,11,1933-01-01,2014-01-01,,2025-12-06 03:45:14.417159+00
